userName,content
Nanda Aprianingsih,"sangat di sayangkan baru pertama kali coba kirim surat pakai pos padahal sudah 7 hari baru di kirim setelah di cek, terus kemarin kemarin kemana aja baru di kirim setelah 7 hari😌"
Agreny Roringpandey,"baru pertama kali coba, tapi agak kecewa. setelah melakukan order pickup dan sudah bayar, di aplikasi tidak ada sarana untuk mengetahui kapan waktu pickup dan harus kontak cs, tapi cs pun tidak dapat melacak order harus menggunakan informasi dari pelanggan. bahkan proses lewat cs pun tidak bisah akurat. minta tolong untuk di perbaiki kedepannya, biar produk Indonesia terlebih BUMN di percaya masyarakat🙏"
My Chocolate,jgn pernah instal aplikasi ini !!! pernah ngirim paket gagal pick up resi jg hangus.. dsuruh input yg baru kirain pake uang sblmnya.. eh tau2 bayar lagi.. dah gtu uang yg sblmnya dr resi yg gagal pick up entah kemana.. dsuruh ke kantor pos terdekat.. bolak balik sama aja nihil katanya mau dtrf balik... bobrok BUMN aplikasi ini tdk ada u uang refund.. jg coba2 klo uang anda ga mau hilang.. dah 1 bulan ga ada kejelasan tiap tlp atau dtg ke gerai..
surabaya green,"paket saya dikirim ke orang lain tanpa konfirmasi. status paket sudah diterima yg bersangkutan padahal saya ga nerima apa2. liat bukti diterima ga bisa dibuka, aneh.. ditulis penerima namanya nur. padahal anak istri saudara dan orang sekitar ga ada namanya nur."
D_ Wahyudi,"niat hati bikin SIM dikirim lewat pos eh malah zonk haruskah tgl 31 spi sya tgu spi tgl 1 blm jga di kirim ,akhir nya tgl 2 sya ambil sendiri ke kantor pos,jadi sya rugi sekitar 30rb an."
Jack,"Aplikasi rusak. Dimasukkan resi pada aplikasi, data tidak valid. Lacak menggunakan website bisa. Ngabisin duit ini aplikasi. Stop pakai pos lah."
Abdul Hadi,"wa tolong dicantumkan per daerah biar jelas pemesanan konsumen. rugi konsumen karena pembayaran telah dilakukan, duit tak kembali dan pembatalan tak bisa."
Ratna Juwita,no wa tolong cantumkan biar jelas pemesanan konsumen. dah rugi pembayaran namun barang tak ada dikirim dan pembatalan tak bisa.
rizz,ngirim pakett kok berhari hari. padahal udah deket bngt tinggal anter ke alamat penerima aja lama bngtt. sekelas posAja ternyata gini wkwk mending j&t/jne lebih terpercaya ada nomor kurir dan paket di lokasi mana bisa tau.
Ifa Sujarta,"pengiriman paket lewat pos sangat lambat sekali, kalah dengan pengiriman dengan yg lain. untuk ke 2 kalinya paket sy selalu terlambat, dan jg untuk kuringnya MLS untuk antar dengan alasan batasan sdh habis besok akan dikirim ulang. yg akhirnya paketnya makanannya menjadi basi, TDK dpt tepat waktu sampenya paketnya. nyesal sy pengiriman paket pake POS"
Yogi R Syukri,"kacau bgt ini pos indonesia. suruh bayar, dikirimin link di wa tapi gak bisa di bukak.!!! coba instal app pos indo buat bayar tagihan, pas login ""oppps"" yg keluar. gak ada solusi gak ada obat sakit semua kalian wahai instansi plat merah tapi gak pernah memberi pelayanan yg baik.. BOBROK"
